,index,School,Type,startSalary,midSalary,mid10,mid25,mid75,mid90
191,17,"University of California, Santa Barbara (UCSB)",Party,50500.0,95000.0,51300.0,71200.0,129000.0,173000.0
192,16,"University of Maryland, College Park",Party,52000.0,95000.0,50400.0,68300.0,126000.0,166000.0
193,10,Virginia Polytechnic Institute and State University (Virginia Tech),Engineering,53500.0,95400.0,50600.0,71400.0,124000.0,163000.0
194,68,San Jose State University (SJSU),State,53500.0,95600.0,50700.0,70500.0,122000.0,156000.0
195,38,Union College,Liberal Arts,47200.0,95800.0,48700.0,75200.0,135000.0,230000.0
196,67,University of Missouri - Rolla (UMR),State,57100.0,95800.0,67600.0,80400.0,122000.0,166000.0
197,66,Binghamton University,State,53600.0,95900.0,50900.0,71200.0,146000.0,201000.0
198,15,University of Illinois at Urbana-Champaign (UIUC),Party,52900.0,96100.0,48200.0,68900.0,132000.0,177000.0
199,64,University of Illinois at Urbana-Champaign (UIUC),State,52900.0,96100.0,48200.0,68900.0,132000.0,177000.0
200,65,Texas A&M University,State,49700.0,96100.0,51100.0,71300.0,131000.0,171000.0
201,9,Wentworth Institute of Technology,Engineering,53000.0,96700.0,55200.0,74000.0,117000.0,153000.0
202,63,"University of California, Irvine (UCI)",State,48300.0,96700.0,47800.0,66000.0,123000.0,172000.0
203,62,University of Colorado - Boulder (UCB),State,47100.0,97600.0,51600.0,69000.0,128000.0,187000.0
204,8,Illinois Institute of Technology (IIT),Engineering,56000.0,97800.0,56100.0,77400.0,121000.0,165000.0
205,37,"Wesleyan University (Middletown, Connecticut)",Liberal Arts,46500.0,97900.0,42000.0,62500.0,126000.0,215000.0
206,61,"University of California, Davis",State,52300.0,99600.0,52000.0,71600.0,135000.0,202000.0
207,58,Cal Poly San Luis Obispo,State,57200.0,101000.0,55000.0,74700.0,133000.0,178000.0
208,60,"University of California, San Diego (UCSD)",State,51100.0,101000.0,51700.0,75400.0,131000.0,177000.0
209,59,University of California at Los Angeles (UCLA),State,52600.0,101000.0,51300.0,72500.0,139000.0,193000.0
210,57,University of Virginia (UVA),State,52700.0,103000.0,52200.0,71800.0,146000.0,215000.0
211,7,Stevens Institute of Technology,Engineering,60600.0,105000.0,68700.0,81900.0,138000.0,185000.0
212,5,Georgia Institute of Technology,Engineering,58300.0,106000.0,67200.0,85200.0,137000.0,183000.0
213,6,Colorado School of Mines,Engineering,58100.0,106000.0,62200.0,87900.0,142000.0,201000.0
214,55,Columbia University,Ivy League,59400.0,107000.0,50300.0,71900.0,161000.0,241000.0
215,36,Lafayette College,Liberal Arts,53900.0,107000.0,70600.0,79300.0,144000.0,204000.0
216,35,Colgate University,Liberal Arts,52800.0,108000.0,60000.0,76700.0,167000.0,265000.0
217,54,Brown University,Ivy League,56200.0,109000.0,55400.0,74400.0,159000.0,228000.0
218,53,Cornell University,Ivy League,60300.0,110000.0,56800.0,79800.0,160000.0,210000.0
219,34,Bucknell University,Liberal Arts,54100.0,110000.0,62800.0,80600.0,156000.0,251000.0
220,4,Rensselaer Polytechnic Institute (RPI),Engineering,61100.0,110000.0,71600.0,85500.0,140000.0,182000.0
221,3,Carnegie Mellon University (CMU),Engineering,61800.0,111000.0,63300.0,80100.0,150000.0,209000.0
222,56,"University of California, Berkeley",State,59900.0,112000.0,59500.0,81000.0,149000.0,201000.0
223,2,Worcester Polytechnic Institute (WPI),Engineering,61000.0,114000.0,80000.0,91200.0,137000.0,180000.0
224,1,"Polytechnic University of New York, Brooklyn",Engineering,62400.0,114000.0,66800.0,94300.0,143000.0,190000.0
225,52,University of Pennsylvania,Ivy League,60900.0,120000.0,55900.0,79200.0,192000.0,282000.0
226,51,Harvard University,Ivy League,63400.0,124000.0,54800.0,86200.0,179000.0,288000.0
227,50,Yale University,Ivy League,59100.0,126000.0,58000.0,80600.0,198000.0,326000.0
228,0,Massachusetts Institute of Technology (MIT),Engineering,72200.0,126000.0,76800.0,99200.0,168000.0,220000.0
229,49,Princeton University,Ivy League,66500.0,131000.0,68900.0,100000.0,190000.0,261000.0
230,48,Dartmouth College,Ivy League,58000.0,134000.0,63100.0,90200.0,234000.0,321000.0
